name,num_runs,rmse_mean,rmse_median,rmse_min,rmse_max,rmse_last,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
spot_outdoor_day_skatepark_1_base,10,198.71382519999997,0.132191,0.132191,1985.943024,0.132191,0.132191,0.132191,0.1377,1985.943024,0.132191,0.132191,0.132191,0.132191,0.132191,0.132191
spot_outdoor_day_skatepark_1_daac_depth_opt_log_mahalanobis_w30,10,0.19283260000000002,0.19054500000000002,0.182072,0.205833,0.198987,0.190173,0.205833,0.193458,0.185997,0.187347,0.205071,0.182072,0.190917,0.188471,0.198987
spot_outdoor_day_skatepark_1_daac_depth_opt_log_w100,10,0.3853425,0.3782045,0.353683,0.433639,0.370039,0.433639,0.410357,0.365557,0.353683,0.354852,0.415074,0.393815,0.375637,0.380772,0.370039
spot_outdoor_day_skatepark_1_daac_depth_opt_mahalanobis_w100,10,0.14539019999999997,0.1453885,0.14514,0.145805,0.145474,0.145453,0.145143,0.145426,0.14514,0.145191,0.145245,0.145674,0.145805,0.145351,0.145474
spot_outdoor_day_skatepark_1_daac_depth_opt_mahalanobis_w1000,10,0.2110707,0.21646100000000001,0.147426,0.223429,0.215509,0.216589,0.147426,0.216006,0.218806,0.216333,0.223429,0.219937,0.222065,0.214607,0.215509
spot_outdoor_day_skatepark_1_daac_depth_opt_mahalanobis_w500,10,0.1954588,0.1957895,0.188368,0.200246,0.199488,0.199035,0.188368,0.195452,0.194412,0.190184,0.198884,0.196127,0.192392,0.200246,0.199488
spot_outdoor_day_skatepark_1_daac_depth_opt_w100,10,0.1566932,0.15667550000000002,0.15483,0.159193,0.156308,0.155648,0.159193,0.15483,0.157229,0.15623,0.157253,0.15651,0.156841,0.15689,0.156308
spot_outdoor_day_skatepark_1_daac_depth_opt_w1000,10,0.265942,0.2683145,0.192749,0.297735,0.289914,0.192749,0.263736,0.269072,0.297735,0.270529,0.275011,0.266295,0.267557,0.266822,0.289914
spot_outdoor_day_skatepark_1_daac_depth_opt_w500,10,15077.000376900003,0.236982,0.234687,150767.874187,0.235755,150767.874187,0.238553,0.237289,0.23469,0.234687,0.23807,0.236675,0.237969,0.235894,0.235755
spot_outdoor_day_skatepark_1_daac_rgd_inv,10,0.15432640000000003,0.157588,0.14128,0.157588,0.14128,0.157588,0.157588,0.157588,0.14128,0.157588,0.157588,0.157588,0.157588,0.157588,0.14128
spot_outdoor_day_skatepark_1_daac_rgd_metric,10,0.14091510000000002,0.13952,0.13952,0.153471,0.13952,0.13952,0.13952,0.13952,0.13952,0.13952,0.13952,0.153471,0.13952,0.13952,0.13952
